Op,None,None,None,None,None
Abs,Passed!,Passed!,Passed!,Passed!,Passed!
Acos,Passed!,Passed!,Passed!,Passed!,Passed!
Acosh,Failed!,Failed!,Failed!,Failed!,Failed!
Add,Passed!,Passed!,Passed!,Passed!,Passed!
And,Passed!,Passed!,Passed!,Passed!,Passed!
ArgMax,Passed!,Passed!,Passed!,Passed!,Passed!
ArgMin,Passed!,Passed!,Passed!,Passed!,Passed!
Asin,Passed!,Passed!,Passed!,Passed!,Passed!
Asinh,Failed!,Failed!,Failed!,Failed!,Failed!
Atan,Passed!,Passed!,Passed!,Passed!,Passed!
Atanh,Failed!,Failed!,Failed!,Failed!,Failed!
AveragePool,Passed!,Passed!,Passed!,Passed!,Passed!
BatchNormalization,Passed!,Passed!,Passed!,Passed!,Passed!
Cast,Passed!,Passed!,Passed!,Passed!,Passed!
Ceil,Passed!,Passed!,Passed!,Passed!,Passed!
Clip,Passed!,Passed!,Passed!,Passed!,Passed!
Compress,Failed!,Failed!,Failed!,Failed!,Failed!
Concat,Passed!,Passed!,Passed!,Passed!,Passed!
Constant,Passed!,Passed!,Passed!,Passed!,Passed!
ConstantOfShape,Passed!,Passed!,Passed!,Passed!,Passed!
Conv,Passed!,Passed!,Passed!,Passed!,Passed!
ConvInteger,Failed!,Failed!,Failed!,Failed!,Failed!
ConvTranspose,Passed!,Passed!,Passed!,Passed!,Passed!
Cos,Passed!,Passed!,Passed!,Passed!,Passed!
Cosh,Passed!,Passed!,Passed!,Passed!,Passed!
DepthToSpace,Failed!,Failed!,Failed!,Failed!,Failed!
DequantizeLinear,Failed!,Failed!,Failed!,Failed!,Failed!
Div,Passed!,Passed!,Passed!,Passed!,Passed!
Dropout,Passed!,Passed!,Passed!,Passed!,Passed!
Elu,Passed!,Passed!,Passed!,Passed!,Passed!
Equal,Passed!,Passed!,Passed!,Passed!,Passed!
Erf,Passed!,Passed!,Passed!,Passed!,Passed!
Exp,Passed!,Passed!,Passed!,Passed!,Passed!
Expand,Passed!,Passed!,Passed!,Passed!,Passed!
EyeLike,Failed!,Failed!,Failed!,Failed!,Failed!
Flatten,Passed!,Passed!,Passed!,Passed!,Passed!
Floor,Passed!,Passed!,Passed!,Passed!,Passed!
GRU,Failed!,Failed!,Failed!,Failed!,Failed!
Gather,Passed!,Passed!,Passed!,Passed!,Passed!
Gemm,Passed!,Passed!,Passed!,Passed!,Passed!
GlobalAveragePool,Passed!,Passed!,Passed!,Passed!,Passed!
GlobalLpPool,Failed!,Failed!,Failed!,Failed!,Failed!
GlobalMaxPool,Passed!,Passed!,Passed!,Passed!,Passed!
Greater,Passed!,Passed!,Passed!,Passed!,Passed!
HardSigmoid,Passed!,Passed!,Passed!,Passed!,Passed!
Hardmax,Failed!,Failed!,Failed!,Failed!,Failed!
Identity,Passed!,Passed!,Passed!,Passed!,Passed!
If,Failed!,Failed!,Failed!,Failed!,Failed!
InstanceNormalization,Passed!,Passed!,Passed!,Passed!,Passed!
IsInf,Failed!,Failed!,Failed!,Failed!,Failed!
IsNaN,Failed!,Failed!,Failed!,Failed!,Failed!
LRN,Passed!,Passed!,Passed!,Passed!,Passed!
LSTM,Failed!,Failed!,Failed!,Failed!,Failed!
LeakyRelu,Passed!,Passed!,Passed!,Passed!,Passed!
Less,Passed!,Passed!,Passed!,Passed!,Passed!
Log,Passed!,Passed!,Passed!,Passed!,Passed!
LogSoftmax,Passed!,Passed!,Passed!,Passed!,Passed!
Loop,Failed!,Failed!,Failed!,Failed!,Failed!
LpNormalization,Failed!,Failed!,Failed!,Failed!,Failed!
LpPool,Failed!,Failed!,Failed!,Failed!,Failed!
MatMul,Passed!,Passed!,Passed!,Passed!,Passed!
MatMulInteger,Failed!,Failed!,Failed!,Failed!,Failed!
Max,Passed!,Passed!,Passed!,Passed!,Passed!
MaxPool,Passed!,Passed!,Passed!,Passed!,Passed!
MaxRoiPool,Failed!,Failed!,Failed!,Failed!,Failed!
MaxUnpool,Failed!,Failed!,Failed!,Failed!,Failed!
Mean,Passed!,Passed!,Passed!,Passed!,Passed!
MeanVarianceNormalization,Failed!,Failed!,Failed!,Failed!,Failed!
Min,Passed!,Passed!,Passed!,Passed!,Passed!
Mod,Failed!,Failed!,Failed!,Failed!,Failed!
Mul,Passed!,Passed!,Passed!,Passed!,Passed!
Multinomial,Failed!,Failed!,Failed!,Failed!,Failed!
Neg,Passed!,Passed!,Passed!,Passed!,Passed!
NonMaxSuppression,Failed!,Failed!,Failed!,Failed!,Failed!
NonZero,Passed!,Passed!,Passed!,Passed!,Passed!
Not,Passed!,Passed!,Passed!,Passed!,Passed!
OneHot,Failed!,Failed!,Failed!,Failed!,Failed!
Or,Passed!,Passed!,Passed!,Passed!,Passed!
PRelu,Passed!,Passed!,Passed!,Passed!,Passed!
Pad,Passed!,Passed!,Passed!,Passed!,Passed!
Pow,Passed!,Passed!,Passed!,Passed!,Passed!
QLinearConv,Failed!,Failed!,Failed!,Failed!,Failed!
