Sum,Passed!,Passed!
Tan,Failed!,Failed!
Tanh,Passed!,Passed!
TfIdfVectorizer,Failed!,Failed!
ThresholdedRelu,Failed!,Failed!
Tile,Failed!,Failed!
TopK,Failed!,Failed!
Transpose,Passed!,Passed!
Trilu,Failed!,Failed!
Unique,Failed!,Failed!
Unsqueeze,Passed!,Passed!
Upsample,Failed!,Failed!
Where,Passed!,Passed!
Xor,Failed!,Failed!
Summary,73/187 node tests passed,73/187 node tests passed
