Op,None,None,None
Abs,Passed!,Passed!,Passed!
Acos,Passed!,Passed!,Passed!
Acosh,Passed!,Passed!,Passed!
Add,Passed!,Passed!,Passed!
And,Passed!,Passed!,Passed!
ArgMax,Passed!,Passed!,Passed!
ArgMin,Passed!,Passed!,Passed!
Asin,Passed!,Passed!,Passed!
Asinh,Passed!,Passed!,Passed!
Atan,Passed!,Passed!,Passed!
Atanh,Passed!,Passed!,Passed!
AveragePool,Passed!,Passed!,Passed!
BatchNormalization,Passed!,Passed!,Passed!
BitShift,Failed!,Failed!,Failed!
Cast,Passed!,Passed!,Passed!
Ceil,Passed!,Passed!,Passed!
Clip,Passed!,Passed!,Passed!
Compress,Failed!,Failed!,Failed!
Concat,Passed!,Passed!,Passed!
ConcatFromSequence,Failed!,Failed!,Failed!
Constant,Passed!,Passed!,Passed!
ConstantOfShape,Failed!,Failed!,Failed!
Conv,Passed!,Passed!,Passed!
ConvInteger,Passed!,Passed!,Passed!
ConvTranspose,Passed!,Passed!,Passed!
Cos,Passed!,Passed!,Passed!
Cosh,Passed!,Passed!,Passed!
CumSum,Failed!,Failed!,Failed!
DepthToSpace,Passed!,Passed!,Passed!
DequantizeLinear,Passed!,Passed!,Passed!
Det,Failed!,Failed!,Failed!
Div,Passed!,Passed!,Passed!
Dropout,Passed!,Passed!,Passed!
DynamicQuantizeLinear,Failed!,Failed!,Failed!
Elu,Passed!,Passed!,Passed!
Equal,Passed!,Passed!,Passed!
Erf,Passed!,Passed!,Passed!
Exp,Passed!,Passed!,Passed!
Expand,Failed!,Failed!,Failed!
EyeLike,Passed!,Passed!,Passed!
Flatten,Passed!,Passed!,Passed!
Floor,Passed!,Passed!,Passed!
GRU,Failed!,Failed!,Failed!
Gather,Passed!,Passed!,Passed!
GatherElements,Failed!,Failed!,Failed!
GatherND,Failed!,Failed!,Failed!
Gemm,Passed!,Passed!,Passed!
GlobalAveragePool,Passed!,Passed!,Passed!
GlobalLpPool,Failed!,Failed!,Failed!
GlobalMaxPool,Passed!,Passed!,Passed!
Greater,Passed!,Passed!,Passed!
HardSigmoid,Passed!,Passed!,Passed!
Hardmax,Passed!,Passed!,Passed!
Identity,Passed!,Passed!,Passed!
If,Failed!,Failed!,Failed!
InstanceNormalization,Passed!,Passed!,Passed!
IsInf,Failed!,Failed!,Failed!
IsNaN,Failed!,Failed!,Failed!
LRN,Passed!,Passed!,Passed!
LSTM,Passed!,Passed!,Passed!
LeakyRelu,Passed!,Passed!,Passed!
Less,Passed!,Passed!,Passed!
Log,Passed!,Passed!,Passed!
LogSoftmax,Passed!,Passed!,Passed!
Loop,Failed!,Failed!,Failed!
LpNormalization,Failed!,Failed!,Failed!
LpPool,Failed!,Failed!,Failed!
MatMul,Passed!,Passed!,Passed!
MatMulInteger,Failed!,Failed!,Failed!
Max,Passed!,Passed!,Passed!
MaxPool,Passed!,Passed!,Passed!
MaxRoiPool,Failed!,Failed!,Failed!
MaxUnpool,Failed!,Failed!,Failed!
Mean,Passed!,Passed!,Passed!
MeanVarianceNormalization,Passed!,Passed!,Passed!
Min,Passed!,Passed!,Passed!
Mod,Failed!,Failed!,Failed!
Mul,Passed!,Passed!,Passed!
Multinomial,Failed!,Failed!,Failed!
Neg,Passed!,Passed!,Passed!
NonMaxSuppression,Failed!,Failed!,Failed!
NonZero,Failed!,Failed!,Failed!
Not,Passed!,Passed!,Passed!
OneHot,Failed!,Failed!,Failed!
Or,Passed!,Passed!,Passed!
PRelu,Passed!,Passed!,Passed!
Pad,Passed!,Passed!,Passed!
Pow,Passed!,Passed!,Passed!
QLinearConv,Failed!,Failed!,Failed!
QLinearMatMul,Failed!,Failed!,Failed!
QuantizeLinear,Passed!,Passed!,Passed!
RNN,Failed!,Failed!,Failed!
RandomNormal,Failed!,Failed!,Failed!
RandomNormalLike,Failed!,Failed!,Failed!
RandomUniform,Failed!,Failed!,Failed!
RandomUniformLike,Failed!,Failed!,Failed!
Range,Failed!,Failed!,Failed!
Reciprocal,Passed!,Passed!,Passed!
ReduceL1,Passed!,Passed!,Passed!
ReduceL2,Passed!,Passed!,Passed!
ReduceLogSum,Passed!,Passed!,Passed!
ReduceLogSumExp,Passed!,Passed!,Passed!
ReduceMax,Passed!,Passed!,Passed!
ReduceMean,Passed!,Passed!,Passed!
ReduceMin,Passed!,Passed!,Passed!
ReduceProd,Passed!,Passed!,Passed!
ReduceSum,Passed!,Passed!,Passed!
ReduceSumSquare,Passed!,Passed!,Passed!
Relu,Passed!,Passed!,Passed!
Reshape,Passed!,Passed!,Passed!
Resize,Failed!,Failed!,Failed!
ReverseSequence,Passed!,Passed!,Passed!
RoiAlign,Failed!,Failed!,Failed!
Round,Failed!,Failed!,Failed!
Scan,Failed!,Failed!,Failed!
Scatter,Failed!,Failed!,Failed!
ScatterElements,Failed!,Failed!,Failed!
ScatterND,Failed!,Failed!,Failed!
Selu,Passed!,Passed!,Passed!
SequenceAt,Failed!,Failed!,Failed!
SequenceConstruct,Failed!,Failed!,Failed!
SequenceEmpty,Failed!,Failed!,Failed!
SequenceErase,Failed!,Failed!,Failed!
SequenceInsert,Failed!,Failed!,Failed!
SequenceLength,Failed!,Failed!,Failed!
Shape,Passed!,Passed!,Passed!
Shrink,Passed!,Passed!,Passed!
Sigmoid,Passed!,Passed!,Passed!
Sign,Passed!,Passed!,Passed!
Sin,Passed!,Passed!,Passed!
Sinh,Passed!,Passed!,Passed!
Size,Passed!,Passed!,Passed!
Slice,Passed!,Passed!,Passed!
Softmax,Passed!,Passed!,Passed!
Softplus,Passed!,Passed!,Passed!
Softsign,Passed!,Passed!,Passed!
SpaceToDepth,Failed!,Failed!,Failed!
Split,Passed!,Passed!,Passed!
SplitToSequence,Failed!,Failed!,Failed!
Sqrt,Passed!,Passed!,Passed!
Squeeze,Passed!,Passed!,Passed!
StringNormalizer,Failed!,Failed!,Failed!
Sub,Passed!,Passed!,Passed!
Sum,Passed!,Passed!,Passed!
Tan,Passed!,Passed!,Passed!
Tanh,Passed!,Passed!,Passed!
TfIdfVectorizer,Failed!,Failed!,Failed!
ThresholdedRelu,Passed!,Passed!,Passed!
Tile,Failed!,Failed!,Failed!
TopK,Failed!,Failed!,Failed!
Transpose,Passed!,Passed!,Passed!
Unique,Failed!,Failed!,Failed!
Unsqueeze,Passed!,Passed!,Passed!
Upsample,Failed!,Failed!,Failed!
Where,Passed!,Passed!,Passed!
Xor,Passed!,Passed!,Passed!
Summary,101/156 node tests passed,101/156 node tests passed,101/156 node tests passed
